,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2000-03-24,1466,1831861,9500997,5.2,5.4,5.05,5.05,-0.15,230
1,2000-03-27,1466,1793000,8514150,4.7,4.81,4.7,4.72,-0.33,215
2,2000-03-28,1466,2026693,9892985,4.5,5.0,4.5,4.95,0.23,244
3,2000-03-29,1466,1221001,5983084,5.0,5.1,4.78,4.83,-0.12,183
4,2000-03-30,1466,1322010,6498338,4.85,5.0,4.85,4.9,0.07,155
5,2000-03-31,1466,1657002,7641688,4.56,4.73,4.56,4.62,-0.28,182
6,2000-04-01,1466,819187,3763435,4.8,4.8,4.5,4.6,-0.02,138
7,2000-04-05,1466,1362000,6026980,4.5,4.57,4.31,4.57,-0.03,167
8,2000-04-06,1466,1113441,4948149,4.54,4.6,4.36,4.6,0.03,171
9,2000-04-07,1466,1306302,6185828,4.6,4.9,4.6,4.63,0.03,225
10,2000-04-08,1466,866000,4000670,4.65,4.75,4.5,4.61,-0.02,129
11,2000-04-10,1466,1117000,5075140,4.7,4.7,4.5,4.52,-0.09,188
12,2000-04-11,1466,606003,2700992,4.41,4.58,4.4,4.46,-0.06,115
13,2000-04-12,1466,1087000,4888760,4.4,4.59,4.4,4.49,0.03,161
14,2000-04-13,1466,1398701,6281606,4.4,4.6,4.4,4.45,-0.04,209
15,2000-04-14,1466,1125816,5049986,4.41,4.58,4.41,4.5,0.05,187
16,2000-04-15,1466,1729000,8251380,4.52,4.81,4.52,4.81,0.31,217
17,2000-04-17,1466,809000,4125900,5.1,5.1,5.1,5.1,0.29,127
18,2000-04-18,1466,8199794,44065328,5.45,5.45,5.0,5.4,0.3,829
19,2000-04-19,1466,2156079,11371840,5.5,5.5,5.15,5.2,-0.2,318
20,2000-04-20,1466,1592004,7980100,5.1,5.2,4.9,4.9,-0.3,202
21,2000-04-21,1466,865007,4223402,5.1,5.1,4.8,4.9,0.0,191
22,2000-04-24,1466,964028,4621109,5.0,5.0,4.61,4.62,-0.28,140
23,2000-04-25,1466,1227055,5544257,4.5,4.62,4.4,4.57,-0.05,171
24,2000-04-26,1466,1571000,7020940,4.42,4.57,4.42,4.43,-0.14,206
25,2000-04-27,1466,1325024,5892184,4.4,4.6,4.4,4.6,0.17,171
26,2000-04-28,1466,675113,3083389,4.6,4.65,4.5,4.65,0.05,133
27,2000-04-29,1466,2259742,11122936,4.7,4.97,4.7,4.95,0.3,188
28,2000-05-02,1466,5108000,23589510,4.61,4.95,4.61,4.61,-0.34,323
29,2000-05-03,1466,1979020,8629950,4.29,4.48,4.29,4.3,-0.31,173
30,2000-05-04,1466,10758152,44026378,4.0,4.46,4.0,4.3,0.0,293
31,2000-05-05,1466,1947010,7859282,4.3,4.3,4.0,4.0,-0.3,309
32,2000-05-06,1466,1142027,4396429,3.85,3.96,3.8,3.9,-0.1,181
