,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2004-08-30,3701,760000,7600000,10.0,10.0,10.0,10.0,0.0,129
1,2004-08-31,3701,2414368,23549293,10.3,10.3,9.3,9.3,-0.7,711
2,2004-09-01,3701,779112,6776854,8.7,9.0,8.65,8.65,-0.65,364
3,2004-09-02,3701,615417,4960916,8.05,8.05,8.05,8.05,-0.6,245
4,2004-09-03,3701,1627301,12210408,7.5,7.5,7.5,7.5,-0.55,445
5,2004-09-06,3701,3364599,25223422,7.25,8.0,7.25,8.0,0.5,868
6,2004-09-07,3701,2264149,17954924,7.75,8.2,7.7,8.0,0.0,609
7,2004-09-08,3701,680299,5331969,8.0,8.0,7.75,7.8,-0.2,306
8,2004-09-09,3701,1078169,8205797,7.7,7.8,7.5,7.5,-0.3,389
9,2004-09-10,3701,1171986,8719778,7.5,7.6,7.25,7.25,-0.25,390
10,2004-09-13,3701,1547419,11089910,7.2,7.45,7.05,7.05,-0.2,463
11,2004-09-14,3701,1331520,9516978,7.1,7.3,7.0,7.15,0.1,336
12,2004-09-15,3701,1002754,7205236,7.15,7.4,7.1,7.15,0.0,269
13,2004-09-16,3701,1072000,7489859,7.0,7.15,6.9,6.95,-0.2,346
14,2004-09-17,3701,2119031,14473261,7.0,7.05,6.6,6.85,-0.1,535
15,2004-09-20,3701,2305148,14933707,6.7,6.85,6.4,6.4,-0.45,480
16,2004-09-21,3701,1602110,10040052,6.4,6.5,6.1,6.15,-0.25,473
17,2004-09-22,3701,1034539,6421012,6.2,6.3,6.15,6.2,0.05,333
18,2004-09-23,3701,468253,2901919,6.15,6.3,6.1,6.3,0.1,182
19,2004-09-24,3701,431183,2695348,6.35,6.35,6.2,6.2,-0.1,191
20,2004-09-27,3701,384361,2365636,6.2,6.35,6.1,6.1,-0.1,162
21,2004-09-29,3701,370266,2282063,6.1,6.25,6.1,6.15,0.05,153
22,2004-09-30,3701,593283,3676159,6.25,6.3,6.15,6.15,0.0,345
23,2004-10-01,3701,705776,4346806,6.2,6.2,6.1,6.15,0.0,273
24,2004-10-04,3701,860612,5397685,6.25,6.35,6.2,6.25,0.1,324
25,2004-10-05,3701,516494,3280941,6.35,6.4,6.3,6.35,0.1,212
26,2004-10-06,3701,1004925,6531294,6.45,6.6,6.4,6.5,0.15,333
27,2004-10-07,3701,695490,4528002,6.6,6.65,6.4,6.5,0.0,314
28,2004-10-08,3701,598135,3829060,6.55,6.55,6.35,6.35,-0.15,293
29,2004-10-11,3701,299824,1907860,6.45,6.45,6.3,6.35,0.0,297
30,2004-10-12,3701,376701,2402824,6.45,6.45,6.3,6.3,-0.05,151
31,2004-10-13,3701,423945,2665941,6.3,6.4,6.25,6.25,-0.05,242
32,2004-10-14,3701,427090,2673146,6.3,6.35,6.2,6.2,-0.05,189
33,2004-10-15,3701,339526,2097394,6.2,6.25,6.1,6.25,0.05,151
34,2004-10-18,3701,226300,1427076,6.45,6.45,6.2,6.2,-0.05,116
35,2004-10-19,3701,441452,2726904,6.2,6.3,6.1,6.2,0.0,256
36,2004-10-20,3701,229423,1421273,6.2,6.3,6.15,6.15,-0.05,185
37,2004-10-21,3701,552459,3387158,6.1,6.2,6.1,6.1,-0.05,278
38,2004-10-22,3701,477454,2925771,6.15,6.2,6.1,6.1,0.0,271
39,2004-10-26,3701,563796,3380596,6.1,6.1,5.9,5.95,-0.15,217
40,2004-10-27,3701,395227,2308817,5.95,5.95,5.8,5.8,-0.15,146
41,2004-10-28,3701,544546,3190622,5.8,5.9,5.8,5.85,0.05,142
42,2004-10-29,3701,264263,1557817,5.85,5.95,5.85,5.85,0.0,110
43,2004-11-01,3701,190994,1106404,5.9,5.95,5.7,5.7,-0.15,76
44,2004-11-02,3701,492322,2783628,5.7,5.75,5.5,5.7,0.0,144
45,2004-11-03,3701,600879,3447833,5.7,5.8,5.7,5.75,0.05,159
46,2004-11-04,3701,417631,2403043,5.8,5.8,5.7,5.75,0.0,231
47,2004-11-05,3701,486443,2833262,5.8,5.9,5.75,5.8,0.05,168
48,2004-11-08,3701,286905,1652259,5.8,5.85,5.7,5.8,0.0,124
49,2004-11-09,3701,254624,1468515,5.8,5.8,5.7,5.75,-0.05,120
50,2004-11-10,3701,226787,1297597,5.75,5.75,5.65,5.75,0.0,125
51,2004-11-11,3701,259599,1487178,5.75,5.75,5.7,5.75,0.0,81
52,2004-11-12,3701,293154,1689002,5.8,5.8,5.7,5.75,0.0,127
53,2004-11-15,3701,311273,1783555,5.8,5.8,5.7,5.75,0.0,106
54,2004-11-16,3701,367833,2100902,5.7,5.75,5.65,5.75,0.0,128
55,2004-11-17,3701,829717,4841402,5.75,5.9,5.7,5.9,0.15,189
56,2004-11-18,3701,652868,3856190,5.95,5.95,5.8,5.8,-0.1,195
57,2004-11-19,3701,442399,2565821,5.8,5.85,5.75,5.85,0.05,139
58,2004-11-22,3701,348239,1996161,5.8,5.8,5.7,5.75,-0.1,119
59,2004-11-23,3701,1500723,8411066,5.75,5.75,5.5,5.5,-0.25,283
60,2004-11-24,3701,2907681,15424624,5.5,5.6,5.15,5.15,-0.35,593
61,2004-11-25,3701,3315435,16521331,5.15,5.2,4.9,4.92,-0.23,714
62,2004-11-26,3701,1786025,8494935,4.9,4.9,4.63,4.8,-0.12,523
63,2004-11-29,3701,623185,2896920,4.8,4.8,4.61,4.61,-0.19,172
64,2004-11-30,3701,642390,2934156,4.61,4.61,4.5,4.6,-0.01,199
65,2004-12-01,3701,415950,1887499,4.55,4.58,4.52,4.53,-0.07,112
66,2004-12-02,3701,872425,4004448,4.53,4.73,4.51,4.64,0.11,172
67,2004-12-03,3701,206100,948552,4.63,4.65,4.54,4.61,-0.03,96
68,2004-12-06,3701,645343,2933872,4.61,4.61,4.52,4.56,-0.05,173
69,2004-12-07,3701,728277,3288348,4.52,4.56,4.5,4.5,-0.06,262
70,2004-12-08,3701,475820,2130703,4.5,4.53,4.45,4.5,0.0,295
71,2004-12-09,3701,409811,1843906,4.46,4.55,4.46,4.5,0.0,116
72,2004-12-10,3701,1072844,4909366,4.5,4.68,4.5,4.64,0.14,198
73,2004-12-13,3701,574000,2693330,4.74,4.8,4.64,4.64,0.0,137
74,2004-12-14,3701,418082,1941487,4.64,4.69,4.6,4.6,-0.04,134
75,2004-12-15,3701,1008837,4606453,4.57,4.67,4.5,4.52,-0.08,238
76,2004-12-16,3701,726627,3490956,4.83,4.83,4.83,4.83,0.31,315
77,2004-12-17,3701,1176294,5998429,5.15,5.15,5.15,5.15,0.32,784
78,2004-12-20,3701,5734995,31011841,5.45,5.5,5.15,5.5,0.35,1131
79,2004-12-21,3701,2893181,16204373,5.5,5.7,5.5,5.65,0.15,714
80,2004-12-22,3701,1692773,9415462,5.7,5.7,5.5,5.55,-0.1,373
81,2004-12-23,3701,1120502,6054003,5.5,5.55,5.3,5.35,-0.2,244
82,2004-12-24,3701,637857,3447508,5.3,5.5,5.25,5.4,0.05,165
83,2004-12-27,3701,367924,2000577,5.4,5.5,5.35,5.45,0.05,123
84,2004-12-28,3701,530536,2864419,5.45,5.5,5.35,5.35,-0.1,132
85,2004-12-29,3701,830428,4510212,5.45,5.5,5.4,5.4,0.05,176
86,2004-12-30,3701,521528,2835869,5.4,5.5,5.4,5.4,0.0,151
87,2004-12-31,3701,1137806,6046444,5.4,5.45,5.25,5.3,-0.1,235
88,2005-01-03,3701,535000,2862900,5.3,5.45,5.3,5.35,0.05,133
89,2005-01-04,3701,470458,2513756,5.35,5.4,5.3,5.35,0.0,133
90,2005-01-05,3701,278469,1487327,5.3,5.4,5.3,5.3,-0.05,103
91,2005-01-06,3701,921877,5023303,5.35,5.5,5.35,5.5,0.2,248
92,2005-01-07,3701,707523,3845208,5.5,5.5,5.35,5.35,-0.15,158
93,2005-01-10,3701,622967,3336828,5.4,5.45,5.3,5.3,-0.05,114
94,2005-01-11,3701,483185,2573048,5.35,5.35,5.3,5.3,0.0,121
95,2005-01-12,3701,578687,3031916,5.3,5.35,5.1,5.15,-0.15,206
96,2005-01-13,3701,353511,1813532,5.2,5.2,5.05,5.15,0.0,103
97,2005-01-14,3701,393804,2034553,5.1,5.25,5.1,5.15,0.0,133
98,2005-01-17,3701,541345,2862401,5.35,5.35,5.2,5.25,0.1,146
99,2005-01-18,3701,669355,3603568,5.45,5.45,5.3,5.4,0.15,188
100,2005-01-19,3701,678420,3679505,5.4,5.5,5.35,5.35,-0.05,241
101,2005-01-20,3701,514904,2744612,5.3,5.4,5.3,5.35,0.0,165
102,2005-01-21,3701,247290,1321344,5.3,5.4,5.3,5.35,0.0,136
103,2005-01-24,3701,491481,2617594,5.3,5.4,5.3,5.35,0.0,126
104,2005-01-25,3701,838358,4366390,5.35,5.35,5.05,5.1,-0.25,194
105,2005-01-26,3701,257961,1320370,5.15,5.15,5.05,5.1,0.0,88
106,2005-01-27,3701,325584,1641280,5.0,5.1,5.0,5.05,-0.05,106
107,2005-01-28,3701,414610,2114460,5.2,5.2,5.05,5.1,0.05,123
108,2005-01-31,3701,482806,2485687,5.15,5.2,5.05,5.2,0.1,124
109,2005-02-01,3701,532239,2725835,5.2,5.3,5.05,5.1,-0.1,145
110,2005-02-02,3701,815428,4123969,5.1,5.1,5.0,5.05,-0.05,195
111,2005-02-03,3701,383058,1944260,5.1,5.1,5.0,5.05,0.0,96
112,2005-02-14,3701,569000,2947050,5.15,5.25,5.1,5.2,0.15,126
113,2005-02-15,3701,672551,3428631,5.25,5.25,5.05,5.05,-0.15,148
114,2005-02-16,3701,950078,4904443,5.25,5.25,5.05,5.15,0.1,171
115,2005-02-17,3701,689744,3503640,5.2,5.2,5.05,5.05,-0.1,165
116,2005-02-18,3701,616825,3146228,5.05,5.15,5.0,5.15,0.1,172
117,2005-02-21,3701,1131716,5875404,5.1,5.25,5.1,5.2,0.05,244
118,2005-02-22,3701,555393,2899766,5.25,5.3,5.2,5.2,0.0,148
119,2005-02-23,3701,379771,1956338,5.2,5.2,5.1,5.15,-0.05,116
120,2005-02-24,3701,491584,2538961,5.15,5.2,5.1,5.1,-0.05,122
121,2005-02-25,3701,577327,2982809,5.1,5.25,5.1,5.1,0.0,187
122,2005-03-02,3701,500232,2525714,5.06,5.1,5.02,5.02,-0.04,179
123,2005-03-03,3701,470424,2351803,5.02,5.05,4.95,5.0,-0.02,234
124,2005-03-04,3701,987113,4888123,5.0,5.05,4.9,4.9,-0.1,201
125,2005-03-07,3701,546725,2681065,4.9,4.95,4.88,4.94,0.04,225
126,2005-03-08,3701,557976,2737803,4.9,4.94,4.85,4.88,-0.06,157
127,2005-03-09,3701,842392,4149074,4.88,5.0,4.85,4.97,0.09,178
128,2005-03-10,3701,819352,4093517,4.98,5.03,4.98,4.98,0.01,235
129,2005-03-11,3701,652084,3256197,5.03,5.03,4.95,4.95,-0.03,153
130,2005-03-14,3701,468198,2298504,4.98,5.0,4.87,4.87,-0.08,141
131,2005-03-15,3701,257954,1257520,4.91,4.95,4.83,4.87,0.0,155
132,2005-03-16,3701,414288,1999460,4.87,4.87,4.76,4.85,-0.02,118
133,2005-03-17,3701,452410,2122175,4.75,4.75,4.65,4.71,-0.14,131
134,2005-03-18,3701,292156,1366780,4.66,4.72,4.62,4.65,-0.06,111
135,2005-03-21,3701,815767,3716556,4.61,4.64,4.51,4.52,-0.13,311
136,2005-03-22,3701,544422,2414417,4.54,4.58,4.35,4.43,-0.09,157
137,2005-03-23,3701,724171,3123280,4.33,4.38,4.25,4.34,-0.09,168
138,2005-03-24,3701,773904,3359979,4.34,4.41,4.27,4.39,0.05,164
139,2005-03-25,3701,438406,1914908,4.35,4.4,4.35,4.36,-0.03,304
140,2005-03-28,3701,427750,1864005,4.38,4.4,4.34,4.34,-0.02,227
141,2005-03-29,3701,352770,1516260,4.3,4.34,4.28,4.3,-0.04,140
142,2005-03-30,3701,378390,1628570,4.3,4.36,4.28,4.29,-0.01,111
143,2005-03-31,3701,1116562,4833868,4.3,4.38,4.29,4.31,0.02,171
144,2005-04-01,3701,462936,1947450,4.31,4.31,4.15,4.17,-0.14,141
145,2005-04-04,3701,1215497,4931366,4.1,4.1,4.0,4.03,-0.14,564
146,2005-04-06,3701,277577,1120398,4.03,4.09,4.03,4.06,0.03,408
147,2005-04-07,3701,476763,1974218,4.12,4.25,4.06,4.1,0.04,288
148,2005-04-08,3701,245876,1013029,4.1,4.19,4.1,4.1,0.0,212
149,2005-04-11,3701,190510,778402,4.05,4.16,4.04,4.06,-0.04,103
150,2005-04-12,3701,383735,1542320,4.02,4.05,4.0,4.04,-0.02,105
151,2005-04-13,3701,248907,1007965,4.05,4.09,4.03,4.05,0.01,90
152,2005-04-14,3701,460601,1848939,4.03,4.05,3.99,4.0,-0.05,223
153,2005-04-15,3701,566353,2224442,4.0,4.03,3.88,3.9,-0.1,207
154,2005-04-18,3701,587370,2273962,4.02,4.03,3.79,3.8,-0.1,144
155,2005-04-19,3701,360538,1348813,3.81,3.9,3.7,3.7,-0.1,115
156,2005-04-20,3701,1218991,4237951,3.45,3.6,3.45,3.45,-0.25,310
157,2005-04-21,3701,686842,2292029,3.3,3.43,3.25,3.41,-0.04,231
158,2005-04-22,3701,391476,1352782,3.45,3.5,3.42,3.44,0.03,204
159,2005-04-25,3701,473006,1626017,3.44,3.49,3.4,3.45,0.01,153
160,2005-04-26,3701,820173,2987657,3.46,3.69,3.46,3.69,0.24,283
161,2005-04-27,3701,1674783,6532144,3.84,3.94,3.83,3.93,0.24,387
162,2005-04-28,3701,984263,3743923,4.0,4.0,3.68,3.78,-0.15,295
163,2005-04-29,3701,342000,1273280,3.74,3.75,3.7,3.7,-0.08,77
164,2005-05-03,3701,378425,1394092,3.75,3.83,3.6,3.61,-0.09,109
165,2005-05-04,3701,305870,1091391,3.51,3.65,3.51,3.53,-0.08,85
166,2005-05-05,3701,641500,2245525,3.5,3.56,3.45,3.46,-0.07,185
167,2005-05-09,3701,546000,1824350,3.42,3.42,3.31,3.35,-0.07,127
168,2005-05-10,3701,468799,1584350,3.3,3.46,3.3,3.46,0.11,107
169,2005-05-11,3701,432114,1471869,3.4,3.45,3.38,3.38,-0.08,90
170,2005-05-12,3701,341451,1169626,3.4,3.5,3.4,3.4,0.02,269
171,2005-05-13,3701,956488,3365348,3.45,3.62,3.45,3.55,0.15,290
172,2005-05-16,3701,452962,1618020,3.55,3.64,3.51,3.51,-0.04,114
173,2005-05-17,3701,450111,1592772,3.6,3.6,3.47,3.6,0.09,183
174,2005-05-18,3701,344205,1224291,3.6,3.6,3.51,3.58,-0.02,159
175,2005-05-19,3701,476049,1697943,3.59,3.63,3.54,3.56,-0.02,106
176,2005-05-20,3701,494190,1758062,3.56,3.61,3.51,3.61,0.05,120
177,2005-05-23,3701,443140,1582712,3.63,3.63,3.53,3.6,-0.01,112
178,2005-05-24,3701,367619,1325175,3.6,3.64,3.55,3.64,0.04,79
179,2005-05-25,3701,531537,1905000,3.64,3.64,3.55,3.61,-0.03,147
180,2005-05-26,3701,355572,1281141,3.61,3.64,3.55,3.64,0.03,99
181,2005-05-27,3701,698837,2557249,3.65,3.69,3.61,3.69,0.05,179
182,2005-05-30,3701,812618,3038796,3.7,3.8,3.65,3.8,0.11,174
183,2005-05-31,3701,370165,1398511,3.8,3.8,3.73,3.8,0.0,82
184,2005-06-01,3701,494366,1873976,3.74,3.82,3.74,3.82,0.02,91
185,2005-06-02,3701,1528047,6082818,3.86,4.06,3.86,4.0,0.18,307
186,2005-06-03,3701,913437,3700986,4.04,4.16,3.98,4.16,0.16,210
187,2005-06-06,3701,1408453,6123437,4.2,4.45,4.16,4.45,0.29,339
188,2005-06-07,3701,2022806,9012824,4.6,4.6,4.3,4.3,-0.15,408
189,2005-06-08,3701,1048456,4441619,4.2,4.34,4.18,4.25,-0.05,224
190,2005-06-09,3701,1057201,4478544,4.25,4.33,4.19,4.19,-0.06,186
191,2005-06-10,3701,788528,3291047,4.22,4.25,4.1,4.23,0.04,363
192,2005-06-13,3701,625935,2606564,4.2,4.21,4.12,4.21,-0.02,123
193,2005-06-14,3701,657000,2713640,4.2,4.2,4.1,4.15,-0.06,141
194,2005-06-15,3701,799709,3316368,4.1,4.2,4.1,4.2,0.05,150
195,2005-06-16,3701,949364,4015780,4.31,4.31,4.15,4.28,0.08,402
196,2005-06-17,3701,944101,4018898,4.28,4.28,4.23,4.28,0.0,164
197,2005-06-20,3701,1331090,5820349,4.26,4.43,4.26,4.41,0.13,555
