,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2002-10-29,1539,1093000,19791700,17.7,18.4,17.2,18.2,0.0,185
1,2002-10-30,1539,1374790,24650498,18.2,18.2,17.6,17.9,-0.3,133
2,2002-10-31,1539,1136400,20231322,17.9,17.9,17.7,17.9,0.0,97
3,2002-11-01,1539,172220,2991417,17.8,17.8,17.1,17.2,-0.7,64
4,2002-11-04,1539,143000,2448700,17.2,17.3,17.0,17.1,-0.1,43
5,2002-11-05,1539,113611,1952192,17.1,17.3,17.1,17.2,0.1,38
6,2002-11-06,1539,280000,4811000,17.2,17.4,17.0,17.3,0.1,69
7,2002-11-07,1539,202444,3468840,17.4,17.4,17.0,17.0,-0.3,46
8,2002-11-08,1539,278010,4802869,17.1,17.6,17.0,17.3,0.3,67
9,2002-11-11,1539,124000,2139600,17.3,17.4,17.1,17.2,-0.1,52
10,2002-11-12,1539,133122,2292886,17.2,17.4,17.1,17.2,0.0,48
11,2002-11-13,1539,347001,5990517,17.2,17.5,17.1,17.1,-0.1,111
12,2002-11-14,1539,629001,11032917,17.2,18.0,17.2,17.7,0.6,153
13,2002-11-15,1539,955053,17426832,18.0,18.8,17.9,18.8,1.1,212
14,2002-11-18,1539,761800,14664357,19.0,19.6,18.8,19.0,0.2,176
15,2002-11-19,1539,198109,3685059,18.8,19.0,18.2,18.4,-0.6,56
16,2002-11-20,1539,144001,2620018,18.4,18.4,17.9,18.1,-0.3,48
17,2002-11-21,1539,222600,4078400,18.2,18.5,18.2,18.5,0.4,78
18,2002-11-22,1539,220000,4100300,18.5,18.8,18.5,18.7,0.2,64
19,2002-11-25,1539,231000,4348900,18.7,19.2,18.7,19.2,0.5,60
20,2002-11-26,1539,196000,3741200,19.2,19.4,18.8,18.9,-0.3,53
21,2002-11-27,1539,174602,3264514,18.8,18.9,18.5,18.6,-0.3,46
22,2002-11-28,1539,595000,11589800,18.7,19.9,18.6,19.9,1.3,173
23,2002-11-29,1539,564201,11364678,20.0,20.5,19.5,19.9,0.0,186
24,2002-12-02,1539,205800,4072440,19.9,20.1,19.6,19.6,-0.3,72
25,2002-12-03,1539,423520,8391340,19.6,20.2,19.6,20.0,0.4,107
26,2002-12-04,1539,203000,4017200,20.0,20.0,19.6,19.8,-0.2,53
27,2002-12-05,1539,511001,10318719,19.8,20.7,19.5,20.4,0.6,140
28,2002-12-06,1539,301820,6078390,20.4,20.4,20.0,20.3,-0.1,100
29,2002-12-09,1539,445000,9207800,20.3,21.2,20.3,20.9,0.6,117
30,2002-12-10,1539,305020,6402614,20.9,21.4,20.7,21.0,0.1,86
31,2002-12-11,1539,307000,6554100,21.1,21.6,21.1,21.3,0.3,100
32,2002-12-12,1539,317001,6800521,21.3,21.6,21.3,21.4,0.1,86
33,2002-12-13,1539,321000,6737100,21.4,21.5,20.5,20.5,-0.9,81
34,2002-12-16,1539,172001,3473420,20.5,20.5,20.0,20.1,-0.4,50
35,2002-12-17,1539,189210,3816397,20.2,20.5,19.8,20.0,-0.1,54
36,2002-12-18,1539,293063,5867753,20.0,20.3,19.9,20.1,0.1,50
37,2002-12-19,1539,226204,4522873,20.1,20.3,19.7,20.2,0.1,64
38,2002-12-20,1539,138400,2798935,20.2,20.4,19.8,20.0,-0.2,53
39,2002-12-23,1539,112000,2219900,20.0,20.0,19.6,19.6,-0.4,39
40,2002-12-24,1539,162011,3197914,19.6,20.0,19.6,19.6,0.0,48
41,2002-12-25,1539,91000,1771100,19.6,19.6,19.3,19.4,-0.2,30
42,2002-12-26,1539,156000,3038700,19.4,19.7,19.4,19.7,0.3,47
43,2002-12-27,1539,149000,2939200,19.7,19.9,19.5,19.8,0.1,53
44,2002-12-30,1539,96001,1893619,19.8,19.9,19.6,19.9,0.1,34
45,2002-12-31,1539,111000,2222900,19.9,20.2,19.9,20.0,0.1,47
46,2003-01-02,1539,94000,1888300,20.0,20.2,19.9,20.2,0.2,31
47,2003-01-03,1539,59000,1178100,20.3,20.3,19.8,20.0,-0.2,23
48,2003-01-06,1539,124000,2454400,20.0,20.1,19.5,19.9,-0.1,42
49,2003-01-07,1539,109000,2133000,19.9,19.9,19.3,19.7,-0.2,32
50,2003-01-08,1539,122000,2391200,19.5,19.9,19.4,19.7,0.0,45
51,2003-01-09,1539,92080,1809567,19.7,19.8,19.5,19.7,0.0,42
52,2003-01-10,1539,148001,2927619,19.7,20.0,19.6,19.7,0.0,52
53,2003-01-13,1539,125001,2456719,19.7,19.7,19.6,19.6,-0.1,29
54,2003-01-14,1539,144000,2817800,19.6,19.7,19.4,19.6,0.0,49
55,2003-01-15,1539,132002,2580138,19.6,19.7,19.4,19.5,-0.1,44
56,2003-01-16,1539,274000,5390400,19.5,20.3,19.4,20.0,0.5,88
57,2003-01-17,1539,145053,2861553,19.8,20.0,19.5,19.8,-0.2,59
58,2003-01-20,1539,168000,3290500,19.8,19.8,19.4,19.4,-0.4,46
59,2003-01-21,1539,160520,3101536,19.4,19.4,19.2,19.4,0.0,51
60,2003-01-22,1539,105000,2026900,19.4,19.6,19.2,19.4,0.0,33
61,2003-01-23,1539,264000,5033700,19.2,19.2,18.7,18.9,-0.5,69
62,2003-01-24,1539,225000,4195600,18.9,19.0,18.4,18.4,-0.5,50
63,2003-01-27,1539,286120,5239196,18.4,18.6,18.2,18.6,0.2,48
64,2003-01-28,1539,107200,1977100,18.6,18.6,18.3,18.4,-0.2,37
65,2003-02-06,1539,73000,1351000,18.5,18.6,18.2,18.6,0.2,25
66,2003-02-07,1539,47002,876236,18.7,18.8,18.5,18.5,-0.1,17
67,2003-02-10,1539,66000,1211900,18.6,18.6,18.2,18.2,-0.3,21
68,2003-02-11,1539,73000,1326300,18.3,18.3,18.0,18.3,0.1,26
69,2003-02-12,1539,74000,1345600,18.3,18.4,18.0,18.1,-0.2,32
70,2003-02-13,1539,63000,1132600,18.1,18.1,17.8,17.9,-0.2,20
71,2003-02-14,1539,54000,962100,17.9,18.0,17.7,17.8,-0.1,21
72,2003-02-17,1539,141002,2514134,17.9,18.1,17.5,17.9,0.1,51
73,2003-02-18,1539,251000,4330800,17.9,17.9,17.0,17.3,-0.6,71
74,2003-02-19,1539,360209,6158403,17.3,17.4,16.9,17.2,-0.1,61
75,2003-02-20,1539,134000,2296200,17.2,17.3,17.0,17.0,-0.2,32
76,2003-02-21,1539,159000,2730000,17.1,17.4,17.0,17.1,0.1,50
77,2003-02-24,1539,109000,1873700,17.1,17.4,17.0,17.4,0.3,34
78,2003-02-25,1539,45599,784368,17.4,17.4,17.1,17.2,-0.2,13
79,2003-02-26,1539,179200,3086522,17.2,17.4,16.8,17.2,0.0,52
80,2003-02-27,1539,156000,2600800,17.1,17.1,16.4,17.1,-0.1,37
81,2003-03-03,1539,110000,1865100,17.1,17.2,16.8,17.2,0.1,30
82,2003-03-04,1539,109000,1887700,17.2,17.5,17.1,17.3,0.1,36
83,2003-03-05,1539,97000,1659900,17.2,17.3,16.9,17.2,-0.1,27
84,2003-03-06,1539,66001,1133617,17.2,17.3,17.1,17.2,0.0,23
85,2003-03-07,1539,70138,1192460,17.2,17.2,16.9,17.0,-0.2,19
86,2003-03-10,1539,55000,932800,17.0,17.0,16.9,16.9,-0.1,15
87,2003-03-11,1539,100000,1673900,16.9,16.9,16.6,16.8,-0.1,29
88,2003-03-12,1539,92012,1534199,16.8,16.8,16.6,16.6,-0.2,21
89,2003-03-13,1539,169310,2817017,16.7,16.7,16.6,16.7,0.1,37
90,2003-03-14,1539,260010,4351866,16.7,16.9,16.6,16.9,0.2,74
91,2003-03-17,1539,102000,1695200,16.6,16.8,16.5,16.5,-0.4,34
92,2003-03-18,1539,143021,2383544,16.6,16.8,16.6,16.6,0.1,40
93,2003-03-19,1539,198000,3218300,16.6,16.6,16.0,16.2,-0.4,50
94,2003-03-20,1539,191080,3103397,16.2,16.4,16.1,16.4,0.2,34
95,2003-03-21,1539,121000,1981500,16.3,16.5,16.3,16.5,0.1,26
96,2003-03-24,1539,80000,1307800,16.5,16.5,16.3,16.4,-0.1,15
97,2003-03-25,1539,176012,2841695,16.3,16.3,16.0,16.2,-0.2,36
98,2003-03-26,1539,138011,2247577,16.2,16.4,16.2,16.3,0.1,25
99,2003-03-27,1539,165013,2654710,16.2,16.3,16.0,16.1,-0.2,39
100,2003-03-28,1539,166001,2660316,16.1,16.2,15.9,16.2,0.1,38
101,2003-03-31,1539,141000,2245000,16.2,16.2,15.5,15.8,-0.4,23
102,2003-04-01,1539,144013,2253302,15.8,15.8,15.5,15.7,-0.1,36
103,2003-04-02,1539,210010,3283356,15.7,15.9,15.5,15.5,-0.2,43
104,2003-04-03,1539,141003,2202245,15.6,15.7,15.5,15.5,0.0,35
105,2003-04-04,1539,94731,1470271,15.5,15.6,15.4,15.6,0.1,25
106,2003-04-07,1539,116000,1807800,15.6,15.7,15.4,15.7,0.1,33
107,2003-04-08,1539,219001,3425215,15.6,15.8,15.5,15.8,0.1,51
108,2003-04-09,1539,269121,4315820,15.6,16.5,15.6,16.0,0.2,99
109,2003-04-10,1539,133666,2120201,15.9,16.0,15.8,15.8,-0.2,52
110,2003-04-11,1539,160257,2524839,15.8,15.9,15.6,15.6,-0.2,58
111,2003-04-14,1539,101470,1589394,15.7,15.8,15.5,15.7,0.1,34
112,2003-04-15,1539,79000,1236000,15.7,15.8,15.6,15.6,-0.1,28
113,2003-04-16,1539,116000,1812800,15.6,15.7,15.6,15.7,0.1,42
114,2003-04-17,1539,89400,1398148,15.7,15.8,15.6,15.6,-0.1,29
115,2003-04-18,1539,214000,3406900,15.6,16.1,15.6,15.9,0.3,83
116,2003-04-21,1539,87130,1379254,16.1,16.1,15.5,15.8,-0.1,33
117,2003-04-22,1539,52012,817587,15.8,15.8,15.6,15.7,-0.1,26
118,2003-04-23,1539,135009,2111740,15.7,15.7,15.5,15.5,-0.2,28
119,2003-04-24,1539,196001,2973015,15.6,15.6,15.0,15.0,-0.5,34
120,2003-04-25,1539,100000,1493100,14.9,15.1,14.8,14.8,-0.2,17
121,2003-04-28,1539,133000,1937100,14.6,14.8,14.5,14.8,0.0,29
122,2003-04-29,1539,74000,1098700,15.0,15.0,14.7,14.9,0.1,23
123,2003-04-30,1539,67000,991900,15.0,15.0,14.6,14.7,-0.2,18
124,2003-05-02,1539,45000,658550,14.8,14.8,14.5,14.7,0.0,12
125,2003-05-05,1539,37100,549362,14.7,15.4,14.7,14.8,0.1,15
126,2003-05-06,1539,38001,566614,14.9,15.0,14.8,15.0,0.2,13
127,2003-05-07,1539,59001,886614,15.2,15.2,14.8,14.8,-0.2,20
128,2003-05-08,1539,101010,1522847,15.0,15.4,14.9,15.1,0.3,44
129,2003-05-09,1539,124000,1904500,15.1,15.7,15.1,15.6,0.5,47
130,2003-05-12,1539,193010,2978455,15.6,15.7,15.3,15.4,-0.2,61
131,2003-05-13,1539,107000,1653900,15.4,15.6,15.4,15.4,0.0,33
132,2003-05-14,1539,48010,735953,15.4,15.4,15.3,15.4,0.0,17
133,2003-05-15,1539,63005,971976,15.4,15.6,15.2,15.3,-0.1,26
134,2003-05-16,1539,138365,2134353,15.3,15.6,15.3,15.5,0.2,43
135,2003-05-19,1539,39000,602500,15.5,15.5,15.4,15.4,-0.1,15
136,2003-05-20,1539,61000,936300,15.4,15.5,15.3,15.5,0.1,20
137,2003-05-21,1539,32000,491100,15.5,15.5,15.3,15.3,-0.2,7
138,2003-05-22,1539,46000,707400,15.3,15.5,15.3,15.5,0.2,16
139,2003-05-23,1539,51000,792100,15.5,15.6,15.5,15.5,0.0,22
140,2003-05-26,1539,284000,4262100,15.5,15.5,14.8,15.0,-0.5,56
141,2003-05-27,1539,197001,3000514,15.0,15.5,14.9,15.5,0.5,63
142,2003-05-28,1539,707217,11280346,15.6,16.5,15.3,16.5,1.0,192
143,2003-05-29,1539,607001,10398016,16.9,17.5,16.7,16.8,0.3,180
144,2003-05-30,1539,377000,6310000,16.5,17.0,16.5,16.8,0.0,92
145,2003-06-02,1539,357000,5913400,16.9,17.0,16.2,16.2,-0.6,97
146,2003-06-03,1539,78001,1274616,16.2,16.5,16.2,16.4,0.2,29
147,2003-06-05,1539,410000,6593200,16.5,16.6,15.9,16.0,-0.4,89
148,2003-06-06,1539,81881,1312042,16.1,16.1,15.9,15.9,-0.1,35
149,2003-06-09,1539,187089,2971907,15.9,16.2,15.7,15.9,0.0,62
150,2003-06-10,1539,141000,2226200,15.9,15.9,15.7,15.7,-0.2,51
151,2003-06-11,1539,130001,2057715,15.8,15.9,15.7,15.8,0.1,39
152,2003-06-12,1539,181000,2844800,16.0,16.0,15.6,15.7,-0.1,55
153,2003-06-13,1539,333000,5168500,15.7,15.7,15.4,15.4,-0.3,81
154,2003-06-16,1539,174000,2692300,15.5,15.6,15.4,15.4,0.0,54
155,2003-06-17,1539,313000,4890300,15.5,15.8,15.5,15.7,0.3,76
156,2003-06-18,1539,112000,1772100,15.7,16.0,15.7,16.0,0.3,44
157,2003-06-19,1539,238002,3831031,16.0,16.2,15.9,16.2,0.2,57
158,2003-06-20,1539,258001,4130916,16.2,16.2,15.9,16.1,-0.1,35
159,2003-06-23,1539,102220,1628529,16.0,16.1,15.7,15.7,-0.4,38
