,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2011-12-01,4739,1881000,43473450,23.5,23.5,22.2,22.95,-0.05,626
1,2011-12-02,4739,1418000,34049350,22.95,25.2,22.95,24.75,1.8,590
2,2011-12-05,4739,380000,9069200,23.9,24.3,23.5,23.65,-1.1,201
3,2011-12-06,4739,268000,6208600,23.6,23.6,23.0,23.0,-0.65,134
4,2011-12-07,4739,265000,6116350,23.0,23.5,22.95,22.95,-0.05,110
5,2011-12-08,4739,351000,7688750,22.95,22.95,21.35,22.35,-0.6,173
6,2011-12-09,4739,85000,1817500,21.8,21.8,21.1,21.5,-0.85,55
7,2011-12-12,4739,95000,2032950,21.7,22.0,21.0,21.2,-0.3,67
8,2011-12-13,4739,122000,2490050,20.8,20.8,20.1,20.4,-0.8,56
9,2011-12-14,4739,207000,4466150,20.6,21.8,20.6,21.8,1.4,90
10,2011-12-15,4739,418000,9698550,23.25,23.3,22.2,23.3,1.5,183
11,2011-12-16,4739,374000,8713800,23.9,23.9,22.5,23.2,-0.1,162
12,2011-12-19,4739,161000,3565850,22.8,22.9,21.6,21.8,-1.4,103
13,2011-12-20,4739,67000,1401450,20.3,21.5,20.3,20.8,-1.0,43
14,2011-12-21,4739,100000,2207400,22.1,22.2,21.2,22.15,1.35,39
15,2011-12-22,4739,41000,881550,21.9,21.9,21.3,21.55,-0.6,30
16,2011-12-23,4739,68000,1523500,21.9,22.75,21.6,22.3,0.75,35
17,2011-12-26,4739,45000,1007950,22.5,22.75,21.85,22.0,-0.3,26
18,2011-12-27,4739,24000,520600,22.0,22.0,21.5,21.8,-0.2,23
19,2011-12-28,4739,53000,1134750,21.6,21.6,21.35,21.35,-0.45,39
20,2011-12-29,4739,17000,366600,21.8,21.8,21.35,21.35,0.0,15
21,2011-12-30,4739,30000,656050,21.5,22.2,21.5,22.2,0.85,25
22,2012-01-02,4739,33000,710350,21.9,21.9,21.35,21.45,-0.75,25
23,2012-01-03,4739,11000,236350,20.75,21.9,20.75,21.7,0.25,9
24,2012-01-04,4739,16000,345650,21.6,21.9,21.35,21.35,-0.35,15
25,2012-01-05,4739,49000,1018500,20.75,21.0,20.4,20.85,-0.5,25
26,2012-01-06,4739,17000,353300,20.8,21.25,20.7,21.25,0.4,14
27,2012-01-09,4739,21000,438200,21.25,21.25,20.7,20.75,-0.5,12
28,2012-01-10,4739,33000,683700,20.75,21.0,20.55,20.9,0.15,24
29,2012-01-11,4739,25000,516400,20.9,20.9,20.6,20.6,-0.3,16
30,2012-01-12,4739,28000,573300,20.5,20.65,20.35,20.35,-0.25,15
31,2012-01-13,4739,20000,411000,20.6,20.8,20.35,20.4,0.05,16
32,2012-01-16,4739,14000,282550,20.5,20.6,19.8,20.6,0.2,14
33,2012-01-17,4739,33000,687750,20.8,21.0,20.6,20.9,0.3,20
34,2012-01-18,4739,77000,1670200,20.85,22.05,20.85,21.5,0.6,41
35,2012-01-30,4739,68000,1446950,21.5,21.5,21.1,21.4,-0.1,34
36,2012-01-31,4739,156000,3463850,21.4,22.75,21.3,22.0,0.6,85
37,2012-02-01,4739,50000,1121100,22.0,22.8,22.0,22.5,0.5,35
38,2012-02-02,4739,140000,3186700,23.0,23.1,22.15,22.9,0.4,60
39,2012-02-03,4739,549000,13328300,23.0,24.5,22.9,24.5,1.6,225
40,2012-02-04,4739,445000,10942600,24.75,25.5,24.0,24.3,-0.2,196
41,2012-02-06,4739,133000,3190500,24.2,24.3,23.55,24.0,-0.3,62
42,2012-02-07,4739,157000,3638600,23.6,23.85,23.0,23.45,-0.55,80
43,2012-02-08,4739,178000,4261300,23.6,24.5,23.5,24.1,0.65,111
44,2012-02-09,4739,359000,9158850,23.8,25.75,23.8,25.75,1.65,142
45,2012-02-10,4739,899000,24506250,26.5,27.55,26.0,27.55,1.8,389
46,2012-02-13,4739,691000,19485550,28.05,28.9,27.6,28.5,0.95,344
47,2012-02-14,4739,305000,8406650,28.8,28.8,27.2,27.5,-1.0,176
48,2012-02-15,4739,220000,6026700,27.5,27.9,26.8,27.6,0.1,121
49,2012-02-16,4739,732000,21470050,27.8,29.5,27.8,29.5,1.9,284
50,2012-02-17,4739,796000,22332100,29.9,30.5,27.45,27.5,-2.0,415
51,2012-02-20,4739,261000,7187200,26.8,28.1,26.8,27.8,0.3,154
52,2012-02-21,4739,156000,4270900,28.0,28.0,26.95,27.6,-0.2,100
53,2012-02-22,4739,182000,4982450,27.5,27.85,27.0,27.25,-0.35,99
54,2012-02-23,4739,148000,3951950,27.25,27.55,26.15,26.45,-0.8,107
55,2012-02-24,4739,81000,2133650,26.5,26.8,25.9,26.35,-0.1,54
56,2012-02-29,4739,209000,5674550,26.75,27.5,26.65,27.45,1.1,109
57,2012-03-01,4739,100000,2729000,27.55,27.55,27.0,27.5,0.05,57
58,2012-03-02,4739,91000,2506800,28.0,28.0,27.15,27.6,0.1,54
59,2012-03-03,4739,117000,3203100,27.6,27.7,26.9,27.7,0.1,64
60,2012-03-05,4739,1018000,30132800,29.6,29.6,29.6,29.6,1.9,339
61,2012-03-06,4739,597000,16693250,28.9,28.9,27.55,27.55,-2.05,256
62,2012-03-07,4739,367000,9702500,25.65,27.45,25.65,26.6,-0.95,208
63,2012-03-08,4739,143000,3839650,26.9,27.1,26.6,26.8,0.2,72
64,2012-03-09,4739,139000,3778750,26.9,27.6,26.9,27.1,0.3,86
65,2012-03-12,4739,106000,2830750,27.0,27.1,26.4,26.55,-0.55,57
66,2012-03-13,4739,57000,1527850,26.55,27.0,26.55,26.65,0.1,43
67,2012-03-14,4739,59000,1578500,27.0,27.0,26.45,26.9,0.25,40
68,2012-03-15,4739,112000,2957750,26.7,26.8,26.15,26.35,-0.55,61
69,2012-03-16,4739,47000,1236150,26.1,26.55,26.1,26.25,-0.1,32
70,2012-03-19,4739,57000,1492600,26.25,26.5,26.0,26.0,-0.25,38
71,2012-03-20,4739,30000,777100,26.25,26.25,25.8,25.9,-0.1,24
72,2012-03-21,4739,42000,1073500,25.9,25.9,25.4,25.9,0.0,32
73,2012-03-22,4739,47000,1223150,25.5,26.4,25.5,25.9,0.0,29
74,2012-03-23,4739,34000,871400,25.8,26.1,25.3,26.1,0.2,30
75,2012-03-26,4739,45000,1162150,26.0,26.15,25.7,26.0,-0.1,22
76,2012-03-27,4739,26000,671250,25.85,26.0,25.7,26.0,0.0,22
77,2012-03-28,4739,27000,692450,25.8,25.8,25.55,25.55,-0.45,16
78,2012-03-29,4739,73000,1839250,25.5,25.5,24.6,25.45,-0.1,55
79,2012-03-30,4739,38000,963150,25.25,26.0,24.8,25.45,0.0,31
80,2012-04-02,4739,135000,3503350,25.4,26.3,25.2,25.8,0.35,80
81,2012-04-03,4739,140000,3489200,25.95,25.95,24.1,24.2,-1.6,80
82,2012-04-05,4739,60000,1419650,23.8,24.5,23.35,24.15,-0.05,31
83,2012-04-06,4739,32000,783550,24.1,24.8,24.0,24.5,0.35,21
84,2012-04-09,4739,12000,291250,23.8,24.75,23.7,24.75,0.25,10
85,2012-04-10,4739,27000,675200,24.8,25.2,24.7,25.2,0.45,17
86,2012-04-11,4739,66000,1683600,24.85,26.9,24.55,26.9,1.7,42
87,2012-04-12,4739,104000,2654000,26.3,26.3,25.3,25.6,-1.3,69
88,2012-04-13,4739,62000,1592750,25.75,25.85,25.5,25.5,-0.1,38
89,2012-04-16,4739,22000,553550,25.3,25.3,25.1,25.1,-0.4,13
90,2012-04-17,4739,44000,1087800,25.0,25.0,24.6,24.65,-0.45,29
91,2012-04-18,4739,18000,443300,24.5,24.95,24.5,24.65,0.0,11
92,2012-04-19,4739,27000,663200,24.55,24.75,24.4,24.55,-0.1,14
93,2012-04-20,4739,52000,1275150,24.7,24.8,24.3,24.4,-0.15,22
94,2012-04-23,4739,52000,1254300,24.75,24.75,24.0,24.0,-0.4,28
95,2012-04-24,4739,73000,1711400,23.95,24.0,23.2,23.7,-0.3,49
96,2012-04-25,4739,45000,1072150,23.7,25.1,23.7,24.45,0.75,27
97,2012-04-26,4739,9000,216800,24.05,24.35,24.0,24.35,-0.1,5
98,2012-04-27,4739,80000,1871500,23.9,24.0,23.0,24.0,-0.35,53
99,2012-04-30,4739,21000,493150,23.8,24.4,23.05,24.0,0.0,20
100,2012-05-02,4739,21000,499750,23.45,24.2,23.45,24.05,0.05,19
101,2012-05-03,4739,12000,288150,24.0,24.3,23.85,23.85,-0.2,9
102,2012-05-04,4739,76000,1804200,23.5,23.9,23.5,23.85,0.0,42
103,2012-05-07,4739,7000,164950,23.6,23.6,23.5,23.6,-0.25,7
104,2012-05-08,4739,2000,47150,23.5,23.65,23.5,23.65,0.05,2
105,2012-05-09,4739,2000,47200,23.45,23.75,23.45,23.75,0.1,2
106,2012-05-10,4739,52000,1206600,23.4,23.6,22.8,23.55,-0.2,31
107,2012-05-11,4739,7000,161200,23.1,23.1,23.0,23.0,-0.55,5
108,2012-05-14,4739,3000,69300,23.1,23.1,23.1,23.1,0.1,1
109,2012-05-15,4739,7000,159800,22.8,23.05,22.7,23.05,-0.05,4
110,2012-05-16,4739,12000,274800,23.0,23.0,22.8,22.8,-0.25,10
111,2012-05-17,4739,32000,735000,22.8,23.0,22.8,22.8,0.0,10
112,2012-05-18,4739,8000,180300,22.55,22.55,22.5,22.5,-0.3,7
113,2012-05-21,4739,8000,187600,22.8,24.0,22.8,24.0,1.5,6
114,2012-05-22,4739,24000,551100,23.2,23.45,22.75,23.45,-0.55,21
115,2012-05-23,4739,11000,249200,22.8,22.9,22.5,22.9,-0.55,8
116,2012-05-24,4739,29000,644650,22.6,22.6,21.9,22.0,-0.9,22
117,2012-05-25,4739,26000,575250,22.25,23.3,21.6,23.05,1.05,14
118,2012-05-28,4739,13000,290200,22.6,22.6,22.05,22.6,-0.45,11
119,2012-05-29,4739,50000,1123750,22.2,22.8,22.2,22.55,-0.05,38
120,2012-05-30,4739,5000,112200,22.55,22.55,22.3,22.55,0.0,5
121,2012-05-31,4739,10000,224500,22.5,22.5,22.1,22.1,-0.45,8
122,2012-06-01,4739,21000,463650,22.1,22.35,21.8,22.25,0.15,12
123,2012-06-04,4739,25000,525700,21.8,21.8,20.9,21.2,-1.05,14
124,2012-06-05,4739,24000,518000,21.3,22.6,21.2,22.6,1.4,19
125,2012-06-06,4739,27000,587300,23.1,23.1,21.2,22.35,-0.25,25
126,2012-06-07,4739,4000,88150,22.1,22.1,21.95,21.95,-0.4,3
127,2012-06-08,4739,11000,237600,21.9,21.9,21.5,21.5,-0.45,5
128,2012-06-11,4739,20000,431450,21.4,22.0,21.15,22.0,0.5,15
129,2012-06-12,4739,3000,66050,22.45,22.45,21.45,22.15,0.15,3
130,2012-06-13,4739,20000,432750,21.45,22.0,21.2,21.95,-0.2,13
131,2012-06-14,4739,12000,263750,21.75,22.0,21.75,22.0,0.05,5
