,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2012-11-05,4976,611603,21410172,36.05,36.05,34.7,34.9,-1.15,396
1,2012-11-20,4976,2491010,102568968,43.0,43.0,39.0,39.0,0.0,1749
2,2012-11-21,4976,1191275,47549430,39.0,40.8,39.0,39.75,0.75,757
3,2012-11-22,4976,911328,37099520,40.0,41.3,40.0,40.0,0.25,598
4,2012-11-23,4976,644100,25681550,40.0,40.2,39.2,39.7,-0.3,467
5,2012-11-26,4976,711005,28161297,39.6,40.3,39.3,39.5,-0.2,460
6,2012-11-27,4976,641001,25580440,39.2,40.2,39.2,40.2,0.7,409
7,2012-11-28,4976,347005,13755949,40.2,40.2,39.35,39.5,-0.7,239
8,2012-11-29,4976,531500,21330774,39.7,40.8,39.5,40.1,0.6,391
9,2012-11-30,4976,754117,30997617,40.2,42.0,40.2,40.75,0.65,491
10,2012-12-03,4976,395000,15933200,41.3,41.3,40.0,40.1,-0.65,279
11,2012-12-04,4976,361000,14444050,40.35,40.35,39.7,39.95,-0.15,229
12,2012-12-05,4976,384000,15202700,39.8,39.95,39.35,39.65,-0.3,267
13,2012-12-06,4976,492000,19802250,39.6,41.0,39.6,39.8,0.15,354
14,2012-12-07,4976,266433,10594965,39.8,40.4,39.5,39.6,-0.2,217
15,2012-12-10,4976,325100,12771065,39.6,39.9,39.05,39.1,-0.5,237
16,2012-12-11,4976,649121,24620093,39.0,39.0,37.5,37.55,-1.55,407
17,2012-12-12,4976,363000,13576300,37.55,37.95,37.05,37.15,-0.4,278
18,2012-12-13,4976,240130,9036501,37.2,37.9,37.2,37.5,0.35,172
19,2012-12-14,4976,321131,11901929,37.25,37.45,36.85,37.0,-0.5,202
20,2012-12-17,4976,400888,14513405,37.0,37.0,36.0,36.05,-0.95,268
21,2012-12-18,4976,611603,21410172,36.05,36.05,34.7,34.9,-1.15,396
22,2012-12-19,4976,962985,35277042,34.9,37.3,34.9,37.3,2.4,585
23,2012-12-20,4976,542962,20196247,37.1,38.0,36.55,36.6,-0.7,350
24,2012-12-21,4976,184015,6632395,36.6,37.0,35.65,35.7,-0.9,141
25,2012-12-22,4976,139000,5032250,35.7,36.75,35.7,36.1,0.4,105
26,2012-12-24,4976,182011,6509498,35.0,36.2,35.0,35.65,-0.45,100
27,2012-12-25,4976,154000,5566950,36.0,36.5,35.65,36.2,0.55,98
28,2012-12-26,4976,135000,4851900,36.1,36.45,35.8,36.0,-0.2,83
29,2012-12-27,4976,110001,3993936,36.0,36.8,36.0,36.05,0.05,83
30,2012-12-28,4976,160000,5782600,36.1,36.4,36.0,36.1,0.05,89
31,2013-01-02,4976,91000,3303550,36.15,36.5,36.0,36.45,0.35,70
32,2013-01-03,4976,619639,23404442,36.8,38.4,36.75,37.9,1.45,399
33,2013-01-04,4976,180000,6757550,37.9,37.9,37.0,37.75,-0.15,133
34,2013-01-07,4976,231100,8751830,37.7,38.15,37.2,38.05,0.3,153
35,2013-01-08,4976,147000,5549100,38.1,38.1,37.5,37.8,-0.25,95
36,2013-01-09,4976,223000,8506650,37.95,38.65,37.8,38.05,0.25,133
37,2013-01-10,4976,133170,5028018,38.1,38.2,37.4,37.7,-0.35,94
38,2013-01-11,4976,225100,8621510,37.7,38.85,37.6,38.0,0.3,183
39,2013-01-14,4976,80000,3052650,38.05,38.4,37.9,38.1,0.1,53
40,2013-01-15,4976,107119,4045533,38.1,38.15,37.55,37.6,-0.5,68
41,2013-01-16,4976,149000,5526300,37.65,37.65,36.6,36.75,-0.85,113
42,2013-01-17,4976,192015,7000149,36.7,37.0,35.9,35.9,-0.85,131
43,2013-01-18,4976,61120,2208058,36.2,36.3,36.0,36.3,0.4,54
44,2013-01-21,4976,88000,3233000,36.4,37.0,36.4,36.6,0.3,63
45,2013-01-22,4976,107001,3950737,36.95,37.2,36.7,37.15,0.55,75
46,2013-01-23,4976,181000,6719550,37.15,37.45,36.65,37.0,-0.15,109
47,2013-01-24,4976,185272,6886218,36.7,37.65,36.7,37.2,0.2,109
48,2013-01-25,4976,132000,4902750,37.2,37.3,36.9,36.95,-0.25,67
49,2013-01-28,4976,72000,2648150,36.95,37.1,36.6,36.75,-0.2,48
50,2013-01-29,4976,234000,8725250,36.9,37.6,36.55,37.6,0.85,141
51,2013-01-30,4976,501865,19258621,37.6,38.9,37.2,38.6,1.0,333
52,2013-01-31,4976,1635855,66491374,39.3,41.3,38.1,41.2,2.6,829
53,2013-02-01,4976,1072235,43345800,41.1,41.1,39.7,39.9,-1.3,667
54,2013-02-04,4976,450053,17714577,40.0,40.2,39.0,39.05,-0.85,272
55,2013-02-05,4976,248000,9599300,38.65,39.0,38.5,38.8,-0.25,168
56,2013-02-06,4976,212272,8308930,38.85,39.55,38.8,38.8,0.0,146
57,2013-02-18,4976,533533,21383722,39.6,40.6,39.4,40.1,1.3,339
58,2013-02-19,4976,367000,14724650,40.3,40.3,39.9,39.95,-0.15,223
59,2013-02-20,4976,175000,6972200,39.95,40.0,39.7,39.7,-0.25,118
60,2013-02-21,4976,372100,14517350,39.5,39.5,38.7,39.0,-0.7,225
61,2013-02-22,4976,163000,6350350,38.7,39.3,38.7,39.0,0.0,96
62,2013-02-23,4976,152120,5930204,39.0,39.1,38.8,38.8,-0.2,81
63,2013-02-25,4976,222000,8709800,38.6,39.8,38.6,39.25,0.45,118
64,2013-02-26,4976,247055,9569235,39.0,39.15,38.45,38.85,-0.4,142
65,2013-02-27,4976,193002,7464326,38.9,39.0,38.45,38.55,-0.3,100
66,2013-03-01,4976,406898,16118760,38.65,40.3,38.65,39.6,1.05,232
67,2013-03-04,4976,162090,6334542,40.3,40.3,38.8,38.8,-0.8,106
68,2013-03-05,4976,138000,5371550,38.4,39.3,38.4,39.0,0.2,89
69,2013-03-06,4976,149030,5783629,39.0,39.05,38.45,38.9,-0.1,104
70,2013-03-07,4976,204580,8009310,38.35,39.65,38.35,39.5,0.6,138
71,2013-03-08,4976,2618136,109251143,39.65,42.25,39.65,42.25,2.75,1163
72,2013-03-11,4976,4845968,216375764,44.2,45.2,43.0,44.9,2.65,2316
73,2013-03-12,4976,2163178,93921424,44.7,44.7,42.5,42.8,-2.1,1341
74,2013-03-13,4976,874050,37425629,42.8,43.5,42.4,42.6,-0.2,545
75,2013-03-14,4976,1484618,64778755,43.0,44.95,42.5,44.0,1.4,941
76,2013-03-15,4976,931130,40260220,44.2,44.2,42.55,42.55,-1.45,617
77,2013-03-18,4976,1319051,53408840,42.0,42.0,39.65,39.85,-2.7,818
78,2013-03-19,4976,520000,20808250,40.0,40.4,39.7,39.7,-0.15,304
79,2013-03-20,4976,646000,25223000,39.5,39.95,38.5,39.2,-0.5,403
80,2013-03-21,4976,215500,8506049,39.3,39.9,39.15,39.35,0.15,151
81,2013-03-22,4976,265076,10407536,39.35,39.5,39.0,39.2,-0.15,148
82,2013-03-25,4976,189000,7426750,39.2,39.7,39.2,39.2,0.0,140
83,2013-03-26,4976,370000,14685600,39.2,40.3,39.15,39.55,0.35,223
84,2013-03-27,4976,223625,8824174,39.35,39.75,39.3,39.4,-0.15,122
85,2013-03-28,4976,403000,15903000,39.4,39.95,39.3,39.35,-0.05,191
86,2013-03-29,4976,694000,28184800,39.5,41.5,39.4,40.85,1.5,492
87,2013-04-01,4976,319054,12757410,40.8,40.8,39.5,39.6,-1.25,218
88,2013-04-02,4976,202000,8053200,39.7,40.0,39.7,39.9,0.3,110
89,2013-04-03,4976,257000,10191900,40.0,40.0,39.5,39.6,-0.3,126
90,2013-04-08,4976,511000,19759250,38.6,39.0,38.2,38.9,-0.7,256
91,2013-04-09,4976,259000,10027500,38.5,38.95,38.5,38.6,-0.3,127
92,2013-04-10,4976,219000,8546350,38.4,39.6,38.3,39.35,0.75,154
93,2013-04-11,4976,230000,9050500,39.35,39.5,39.0,39.4,0.05,126
94,2013-04-12,4976,178000,7008250,39.4,39.45,39.05,39.4,0.0,101
95,2013-04-15,4976,231000,9099250,39.4,39.55,39.1,39.4,0.0,130
96,2013-04-16,4976,119571,4613604,37.65,39.0,37.65,38.8,-0.6,66
97,2013-04-17,4976,81000,3152850,38.7,39.25,38.7,39.0,0.2,53
98,2013-04-18,4976,150020,5895226,39.0,39.5,39.0,39.0,0.0,75
99,2013-04-19,4976,129000,5043800,39.7,39.7,38.95,39.0,0.0,67
100,2013-04-22,4976,121000,4710100,39.0,39.1,38.8,38.85,-0.15,66
101,2013-04-23,4976,102000,3955950,38.85,39.0,38.6,38.8,-0.05,55
102,2013-04-24,4976,151000,5856500,39.0,39.0,38.65,38.65,-0.15,85
103,2013-04-25,4976,190000,7298500,38.7,38.7,38.2,38.3,-0.35,104
104,2013-04-26,4976,420250,15844024,38.3,38.3,37.4,37.5,-0.8,224
105,2013-04-29,4976,141001,5293139,37.45,37.8,37.45,37.5,0.0,66
106,2013-04-30,4976,169000,6363050,37.5,37.9,37.5,37.6,0.1,73
107,2013-05-02,4976,158000,5964700,37.6,38.3,37.5,37.6,0.0,93
108,2013-05-03,4976,117000,4417950,37.7,38.1,37.55,37.55,-0.05,69
109,2013-05-06,4976,109150,4125957,37.55,38.0,37.55,37.9,0.35,61
110,2013-05-07,4976,97000,3690450,38.0,38.25,37.75,37.75,-0.15,66
111,2013-05-08,4976,96070,3656221,37.9,38.5,37.8,37.8,0.05,81
112,2013-05-09,4976,96000,3656850,38.4,38.4,37.9,38.2,0.4,70
113,2013-05-10,4976,171000,6599400,38.3,39.1,38.3,38.4,0.2,97
114,2013-05-13,4976,115000,4386350,38.4,38.5,37.65,37.9,-0.5,74
115,2013-05-14,4976,160000,6045500,38.0,38.0,37.65,37.65,-0.25,72
116,2013-05-15,4976,200000,7530100,37.5,38.0,37.5,37.6,-0.05,91
117,2013-05-16,4976,730000,27053850,37.6,37.7,36.3,36.3,-1.3,358
118,2013-05-17,4976,796766,28056406,36.3,36.3,34.1,34.65,-1.65,456
119,2013-05-20,4976,195100,6841950,34.55,35.4,34.5,35.3,0.65,126
120,2013-05-21,4976,267000,9289500,35.1,35.25,34.5,34.95,-0.35,138
