,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2001-09-19,2618,153000,1323450,8.65,8.65,8.65,8.65,0.0,41
1,2001-09-20,2618,3507577,29322558,8.35,8.6,8.35,8.35,-0.3,448
2,2001-09-21,2618,357120,2892893,8.1,8.1,8.1,8.1,-0.25,74
3,2001-09-24,2618,2452045,18531459,7.55,7.9,7.55,7.55,-0.55,293
4,2001-09-25,2618,7968605,56533190,7.3,7.5,7.05,7.05,-0.5,842
5,2001-09-26,2618,10191758,68557259,6.6,7.4,6.6,7.4,0.35,1150
6,2001-09-27,2618,3620069,25218588,7.15,7.15,6.9,7.1,-0.3,533
7,2001-09-28,2618,3297234,23329018,6.8,7.2,6.8,7.05,-0.05,595
8,2001-10-02,2618,2126264,14180409,6.8,6.95,6.6,6.6,-0.45,388
9,2001-10-03,2618,4927542,30577912,6.5,6.5,6.15,6.15,-0.45,506
10,2001-10-04,2618,4964211,29430054,6.15,6.25,5.75,5.8,-0.35,710
11,2001-10-05,2618,2735867,15336386,5.5,5.85,5.4,5.65,-0.15,473
12,2001-10-08,2618,1525597,8393423,5.55,5.6,5.45,5.45,-0.2,283
13,2001-10-09,2618,1714045,9494094,5.4,5.7,5.4,5.6,0.15,340
14,2001-10-11,2618,2055203,12081301,5.6,5.95,5.6,5.95,0.35,425
15,2001-10-12,2618,8095539,50441659,6.35,6.35,6.15,6.35,0.4,800
16,2001-10-15,2618,2384260,14510904,6.35,6.35,5.95,5.95,-0.4,394
17,2001-10-16,2618,1548930,9268919,5.7,6.2,5.7,6.15,0.2,278
18,2001-10-17,2618,2010472,12390743,6.3,6.3,6.1,6.15,0.0,300
19,2001-10-18,2618,4140360,26428556,6.05,6.5,6.05,6.45,0.3,636
20,2001-10-19,2618,4065172,26216082,6.4,6.6,6.3,6.5,0.05,584
21,2001-10-22,2618,1666964,10532083,6.5,6.5,6.25,6.3,-0.2,305
22,2001-10-23,2618,2659149,16742592,6.35,6.4,6.2,6.2,-0.1,332
23,2001-10-24,2618,2659649,16960595,6.3,6.45,6.3,6.35,0.15,314
24,2001-10-25,2618,2042162,13071029,6.35,6.45,6.35,6.4,0.05,233
25,2001-10-26,2618,2135629,13588021,6.45,6.45,6.25,6.3,-0.1,300
26,2001-10-29,2618,1327151,8141920,6.25,6.3,6.0,6.1,-0.2,215
27,2001-10-30,2618,2586209,14964850,6.0,6.0,5.7,5.8,-0.3,348
28,2001-10-31,2618,920853,5337988,5.85,5.85,5.7,5.8,0.0,176
29,2001-11-01,2618,5103855,31370070,5.9,6.2,5.85,6.2,0.4,537
30,2001-11-02,2618,3420198,21621578,6.45,6.45,6.2,6.2,0.0,563
31,2001-11-05,2618,1644561,10136461,6.2,6.2,6.15,6.2,0.0,194
32,2001-11-06,2618,3109865,20181390,6.2,6.6,6.2,6.5,0.3,565
33,2001-11-07,2618,2534372,16951418,6.7,6.8,6.6,6.65,0.15,472
34,2001-11-08,2618,1542531,9979584,6.75,6.75,6.3,6.4,-0.25,270
35,2001-11-09,2618,4062452,27219373,6.4,6.8,6.4,6.8,0.4,598
36,2001-11-12,2618,6345443,45883069,7.15,7.25,7.1,7.25,0.45,818
37,2001-11-13,2618,4915860,34183474,6.85,7.2,6.75,7.0,-0.25,859
38,2001-11-14,2618,3216450,22610703,7.0,7.2,6.9,7.05,0.05,525
39,2001-11-15,2618,2163652,15222118,7.0,7.2,6.95,7.0,-0.05,358
40,2001-11-16,2618,7874001,58268028,7.05,7.45,7.05,7.45,0.45,753
41,2001-11-19,2618,2120954,16731016,7.7,7.95,7.7,7.95,0.5,290
42,2001-11-20,2618,2538682,21575433,8.5,8.5,8.5,8.5,0.55,321
43,2001-11-21,2618,16248500,144364762,9.05,9.05,8.6,9.05,0.55,1946
44,2001-11-22,2618,9427816,88740644,9.65,9.65,9.05,9.1,0.05,1621
45,2001-11-23,2618,4362290,38502817,9.1,9.1,8.5,8.8,-0.3,868
46,2001-11-26,2618,3783119,33723935,9.0,9.1,8.8,9.0,0.2,614
47,2001-11-27,2618,4125071,37146182,9.1,9.25,8.8,8.9,-0.1,693
48,2001-11-28,2618,3081749,26044719,8.8,8.9,8.3,8.3,-0.6,623
49,2001-11-29,2618,2785191,22842225,8.0,8.45,7.8,8.4,0.1,537
50,2001-11-30,2618,4634905,40323004,8.9,8.9,8.5,8.5,0.1,738
51,2001-12-03,2618,4248723,37822755,9.0,9.05,8.7,9.05,0.55,811
52,2001-12-04,2618,5756414,52575576,9.3,9.3,9.0,9.3,0.25,1042
53,2001-12-05,2618,5900013,55661570,9.55,9.6,9.3,9.35,0.05,1125
54,2001-12-06,2618,9670299,93178377,9.5,10.0,9.4,9.95,0.6,1554
55,2001-12-07,2618,10848010,112526292,10.2,10.6,10.05,10.55,0.6,1568
56,2001-12-10,2618,16073145,172308009,10.8,11.1,10.0,10.3,-0.25,1935
57,2001-12-11,2618,6538267,64339460,10.1,10.2,9.65,9.65,-0.65,1196
58,2001-12-12,2618,5884387,58465508,9.6,10.2,9.6,10.0,0.35,1026
59,2001-12-13,2618,8489627,83828976,10.0,10.25,9.35,9.6,-0.4,1492
60,2001-12-14,2618,7592200,71383757,9.35,9.6,9.1,9.4,-0.2,769
61,2001-12-17,2618,4588583,45565696,9.6,10.05,9.6,10.05,0.65,795
62,2001-12-18,2618,11402373,118215633,10.6,10.65,10.0,10.0,-0.05,1920
